artikelnummer	de	en	fr
MO130GP2012	T-Stück 90° IG d20-1/2 Mocca	Tee 90° "f" d20-1/2" Mocca	Té 90° (filetage femelle) d20-1/2" Mocca
MO130GP2512	T-Stück 90° IG d25-1/2 Mocca	Tee 90° "f" d25-1/2" Mocca	Té 90° (filetage femelle) d25-1/2" Mocca
MO130GP2534	T-Stück 90° IG d25-3/4 Mocca	Tee 90° "f" d25-3/4" Mocca	Té 90° (filetage femelle) d25-3/4" Mocca
MO130GP321	T-Stück 90° IG d32-1 Mocca	Tee 90° "f" d32-1" Mocca	Té 90° (filetage femelle) d32-1" Mocca
MO130GP3234	T-Stück 90° IG d32-3/4 Mocca	Tee "f" d32-3" Mocca	Té 90° (filetage femelle) d32-3/4" Mocca
MO130P20	T-Stück d20 mm Mocca	Tee d20 mm Mocca	Té d20 mm Mocca
MO130P25	T-Stück d25 mm Mocca	Tee d25 mm Mocca	Té d25 mm Mocca
MO130P32	T-Stück d32 mm Mocca	Tee d32 mm Mocca	Té d32 mm Mocca
MO130P3225	T-Stück red. d32-25 mm Mocca	Reducing tee d32-25 mm Mocca	Té réduit d32-25 mm Mocca
MO130P40	T-Stück d40 mm Mocca	Tee d40 mm Mocca	Té d40 mm Mocca
MO130P50	T-Stück d50 mm Mocca	Tee d50 mm Mocca	Té d50 mm Mocca
MO130P63	T-Stück d63 mm Mocca	Tee d63 mm Mocca	Té d63 mm Mocca
MO2436GP321	Übergangs-Gewinde-Muffe AG d32-1" Mocca Hexa 6-Kant	Adaptor socket "m" d32-1" Mocca Hexa	Manchon adaptateur (filetage mâle Hexa) d32-1" Mocca
MO2436GP40114	Übergangs-Gewinde-Muffe AG d40-1 1/4" Mocca Hexa 6-Kant	Adaptor socket "m" d40-1 1/4" Mocca Hexa	Manchon adaptateur (filetage mâle Hexa) d40-1 1/4" Mocca
MO2436GP50112	Übergangs-Gewinde-Muffe AG d50-1 1/2" Mocca Hexa 6-Kant	Adaptor socket "m" d50-1 1/2" Mocca Hexa	Manchon adaptateur (filetage mâle Hexa) d50-1 1/2" Mocca
MO2436GP632	Übergangs-Gewinde-Muffe AG d63-2" Mocca Hexa 6-Kant	Adaptor socket "m" d63-2" Mocca Hexa	Manchon adaptateur (filetage mâle Hexa) d63-2" Mocca
MO243GP2012	Übergangs-Gewinde-Muffe AG d20-1/2" Mocca	Adaptor socket "m" d20-1/2" Mocca	Manchon adaptateur (filetage mâle) d20-1/2" Mocca
MO243GP2512	Übergangs-Gewinde-Muffe AG d25-1/2" Mocca	Adaptor socket "m" d25-1/2" Mocca	Manchon adaptateur (filetage mâle) d25-1/2" Mocca
MO243GP2534	Übergangs-Gewinde-Muffe AG d25-3/4" Mocca	Adaptor socket "m" d25-3/4" Mocca	Manchon adaptateur (filetage mâle) d25-3/4" Mocca
MO243GP321	Übergangs-Gewinde-Muffe AG d32-1 Mocca	Adaptor socket "m" d32-1" Mocca	Manchon adaptateur (filetage mâle) d32-1" Mocca
MO243GP40114	Übergangs-Gewinde-Muffe AG d40-1 1/4 Mocca	Adaptor socket "m" d40-1 1/4" Mocca	Manchon adaptateur (filetage mâle) d40-1 1/4" Mocca
MO243GP50112	Übergangs-Gewinde-Muffe AG d50-1 1/2 Mocca	Adaptor socket "m" d50-1 1/2" Mocca	Manchon adaptateur (filetage mâle) d50-1 1/2" Mocca
MO243GP632	Übergangs-Gewinde-Muffe AG d63-2 Mocca	Adaptor socket "m" d63-2" mm Mocca	Manchon adaptateur (filetage mâle) d63-2" mm Mocca
MO243P2520	Reduktion d25-20 mm Mocca	Reducing bush d25-20 mm Mocca	Réduction d25-20 mm Mocca
MO243P3220	Reduktion d32-20 mm Mocca	Reducing bush d32-20 mm Mocca	Réduction d32-20 mm Mocca
MO243P3225	Reduktion d32-25 mm Mocca	Reducing bush d32-25 mm Mocca	Réduction d32-25 mm Mocca
MO243P4020	Reduktion d40-20 mm Mocca	Reducing bush d40-20 mm Mocca	Réduction d40-20 mm Mocca
MO243P4025	Reduktion d40-25 mm Mocca	Reducing bush d40-25 mm Mocca	Réduction d40-25 mm Mocca
MO243P4032	Reduktion d40-32 mm Mocca	Reducing bush d40-32 mm Mocca	Réduction d40-32 mm Mocca
MO243P5032	Reduktion d50-32 mm Mocca	Reducing bush d50-32 mm Mocca	Réduction d50-32 mm Mocca
MO243P5040	Reduktion d50-40 mm Mocca	Reducing bush d50-40 mm Mocca	Réduction d50-40 mm Mocca
MO243P6332	Reduktion d63-32 mm Mocca	Reducing bush d63-32 mm Mocca	Réduction d63-32 mm Mocca
MO243P6340	Reduktion d63-40 mm Mocca	Reducing bush d63-40 mm Mocca	Réduction d63-40 mm Mocca
MO243P6350	Reduktion d63-50 mm Mocca	Reducing bush d63-50 mm Mocca	Réduction d63-50 mm Mocca
MO2706GP321	Übergangs-Gewinde-Muffe IG d32-1" Mocca Hexa 6-Kant	Adaptor socket "f" d32-1" Mocca Hexa	Manchon adaptateur (filetage femelle Hexa) d32-1" Mocca
MO2706GP40114	Übergangs-Gewinde-Muffe IG d40-1 1/4" Mocca nickel Hexa 6-Kant	Adaptor socket "f" d40-1 1/4" Mocca Hexa	Manchon adaptateur (filetage femelle Hexa) d40-1 1/4 Mocca
MO2706GP50112	Übergangs-Gewinde-Muffe IG d50-1 1/2" Mocca nickel Hexa 6-Kant	Adaptor socket "f" d50-1 1/2" Mocca Hexa	Manchon adaptateur (filetage femelle Hexa) d50-1 1/2" Mocca
MO2706GP632	Übergangs-Gewinde-Muffe IG d63-2" Mocca nickel plat Hexa 6-Kant	Adaptor socket "f" d63-2 Mocca Hexa	Manchon adaptateur (filetage femelle Hexa) d63-2 Mocca
MO2706GP75212	Übergangs-Gewinde-Muffe IG d75-2 1/2" Mocca nickel Hexa 6-Kant	Adaptor socket "f" d75-2 1/2" Mocca Hexa	Manchon adaptateur (filetage femelle Hexa) d75-2 1/2" Mocca
MO270GP2012	Übergangs-Gewinde-Muffe IG d20-1/2" Mocca	Adaptor socket "f" d20-1/2"  Mocca	Manchon adaptateur (filetage femelle) d20-1/2" Mocca
